runId8	files	dirs	du
fdb51fbd	0	123	0
9b340959	0	115	0
d1d28d9e	0	122	0
0c511728	0	116	0
90f82ec0	0	121	0
cfeaac6d	0	114	0
61405c52	0	122	0
2fc07749	0	114	0
f06584b6	0	121	0
3eab8d25	0	114	0
0cb4fd15	0	122	0
b3fd0659	0	115	0
a1f764ff	0	123	0
74d32bc7	0	114	0
03324918	0	120	0
da8b62b5	0	114	0
732fe70d	0	121	0
a04077a7	0	114	0
05025c82	0	122	0
14b20bd6	0	115	0
6d7a004d	0	126	0
b5dab364	0	120	0
c73a738c	0	124	0
8a6f49e3	0	120	0
326fcfc4	0	125	0
d9909afa	0	124	0
8f7a8b03	0	123	0
9d89c0ba	0	121	0
3d5ad92b	0	122	0
6b8745e4	0	120	0
fa0d65d7	0	124	0
23f1ce2e	0	123	0
89f84ffe	0	125	0
a7952e51	0	123	0
354f1264	0	125	0
92e80757	0	120	0
b240bbe8	0	124	0
dc6ceb2d	0	123	0
bb689c27	0	126	0
e00f855d	0	120	0
e0075ad9	0	128	0
13a9ee1a	0	122	0
c0589938	0	130	0
0b70425d	0	120	0
3d1e77c2	0	130	0
c0327a61	0	121	0
b8e322e3	0	126	0
3d6ef618	0	121	0
82b31390	0	127	0
16024760	0	121	0
502097f9	0	130	0
80e5037e	0	121	0
0ee35b0e	0	128	0
2635dc3b	0	123	0
