# B6 probe v1.1  skill sha 7bea904863fb79a544ee2068cb2f0f43  agent b3450564b6f32d61 (unchanged)
probe	task	key	run_id	exit	agent_hash	skill_hash	model_calls
A-skill-only	BE-003	EXP-B6-SKILL-DELIVERY-PROBE-V11	ba8b4b98-fd60-43d1-9adc-d23c730f13cc	0	None	sha256:61445ead85042e340435613314920ef8	17
B-agent-skill	BE-003	EXP-B6-SKILL-BE003-PREFLIGHT-V11	e711fd4a-4261-4d6e-b0b1-693b0f6fcf18	0	sha256:b3450564b6f32d6193e8580db766210e	sha256:61445ead85042e340435613314920ef8	26
