# B7 PREFLIGHT PAIR 20260910T120306Z  (author decisions 8 and 9)
# treated overlay c558f78ace02066223746bd216e4c848326bdc382fa2cfd35f1569d9fe22cbac
# expected agentHash on BOTH arms: sha256:b3450564b6f32d6193e8580db766210e
# claude 2.1.267 at launch, model claude-haiku-4-5-20251001
# prediction commit ea7b1d2 at 2026-09-10T09:51:08Z, BEFORE any run here
task	arm	run_id	rc	worktree	agent_hash	policy_log	policy_lines	model_calls	init_tools
BE-003	treated	NONE	2	NONE	null	ABSENT	0	null	UNPARSED
BE-003	control	NONE	2	NONE	null	ABSENT	0	null	UNPARSED
BE-004	treated	NONE	2	NONE	null	ABSENT	0	null	UNPARSED
BE-004	control	NONE	2	NONE	null	ABSENT	0	null	UNPARSED
