# B6 carrier probe  skill sha 7bea904863fb79a544ee2068cb2f0f43  carrier agent 51ffaedf9a3edbfe (phases-v1.0 + Skill, both arms)
arm	task	key	run_id	exit	agent_hash	skill_hash	model_calls
treated	BE-003	EXP-B6-CARRIER-BE003-PREFLIGHT	68ce09a8-023d-462d-b6e7-66e4521dc56f	0	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	33
control	BE-003	EXP-B6-CARRIER-BE003-PREFLIGHT	44013639-e9fc-42cc-be6e-648dcf0dc568	0	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	None	12
treated	BE-004	EXP-B6-CARRIER-BE004-PREFLIGHT	76726889-dabd-4cdb-9516-4e97a72707ed	0	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	26
control	BE-004	EXP-B6-CARRIER-BE004-PREFLIGHT	f3c7faef-edfd-4a87-adf3-c69f1bd053f3	0	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	None	24
