# B8 REGISTERED BATCH 20260915T182436Z  n=10 per arm per task, interleaved (author decision 9)
# treated overlay a94237242e8c1308fb1d434a06a034630e46ec831a9ca5ad77257457c3d4993b (agent-v1.1), control none-no-CLAUDE.md (verify-v1.0)
# expected agentHash on BOTH arms: sha256:b3450564b6f32d6193e8580db766210e
# expected instructionsHash treated sha256:a94237242e8c1308fb1d434a06a03463 / control null
# claude 2.1.272 at launch, model claude-haiku-4-5-20251001
# API http://127.0.0.1:18081  OTLP http://localhost:14318 / http://localhost:14317
# prediction commit 5d7bfe0 at 2026-09-15T14:31:03Z, BEFORE any run here
task	seq	arm	run_id	rc	evaluator_exit	f13	edits	runtime_ver	model	agent_hash	instr_hash	state_file	state_valid	total_repairs	blocks	pre_allows	post_succ	model_calls	tool_calls	cost	duration_ms	changed	init_tools	worktree
BE-003	06	control	fc14873a-9f19-4ed9-9747-91656968f530	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	20	20	0.115643	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-fc14873a-9f19-4ed9-9747-91656968f530
BE-003	07	treated	382899ea-c9ff-4886-84be-de99a82a83ea	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	7	7	22	20	0.144211	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-382899ea-c9ff-4886-84be-de99a82a83ea
BE-003	07	control	386d55af-03d9-4141-a65d-3d3bdfda225e	0	0	no	5	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	22	20	0.113719	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-386d55af-03d9-4141-a65d-3d3bdfda225e
BE-003	08	treated	c85438f4-f461-46dd-80c1-c35b549c6ae2	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	4	4	19	17	0.115048	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c85438f4-f461-46dd-80c1-c35b549c6ae2
BE-003	08	control	1749df11-c947-4ffe-b391-8bc3e1b686d9	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	19	21	0.108709	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-1749df11-c947-4ffe-b391-8bc3e1b686d9
BE-003	09	treated	16933e49-1298-4e05-a90f-6c1e924cdae1	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	3	3	17	15	0.103768	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-16933e49-1298-4e05-a90f-6c1e924cdae1
BE-003	09	control	403352e6-30e2-420f-99b1-43a59fdb501c	0	0	no	4	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	26	24	0.129862	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-403352e6-30e2-420f-99b1-43a59fdb501c
BE-003	10	treated	26d8e243-22a5-49ec-9e73-3364f91b9831	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	4	4	19	17	0.134771	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-26d8e243-22a5-49ec-9e73-3364f91b9831
BE-003	10	control	4b8702a7-234d-41b3-837f-e64c58e35a7b	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	21	18	0.140168	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-4b8702a7-234d-41b3-837f-e64c58e35a7b
BE-004	01	treated	29af5d60-0ee6-457f-92e3-f505c0c82729	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	6	28	26	0.206755	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-29af5d60-0ee6-457f-92e3-f505c0c82729
BE-004	01	control	19c31787-da83-4958-a833-19582d08ac5d	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	25	23	0.200527	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-19c31787-da83-4958-a833-19582d08ac5d
BE-004	02	treated	7451bd67-5a2b-447e-9e47-3e01e0e34971	0	0	no	9	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	6	30	28	0.221832	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-7451bd67-5a2b-447e-9e47-3e01e0e34971
BE-004	02	control	5bbd7910-a9cc-4091-806b-9690c324a57e	0	0	no	6	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	28	26	0.191364	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-5bbd7910-a9cc-4091-806b-9690c324a57e
BE-004	03	treated	c897f0cb-5735-4ad4-aea5-d6723dba390f	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	7	6	28	25	0.199674	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c897f0cb-5735-4ad4-aea5-d6723dba390f
BE-004	03	control	e8bb7e73-b596-4127-a5ae-945a1bfbc66d	0	0	no	11	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	32	30	0.205162	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-e8bb7e73-b596-4127-a5ae-945a1bfbc66d
BE-004	04	treated	7e97452d-1357-447c-abc0-17d66ab0a24d	0	0	no	6	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	6	27	25	0.195181	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-7e97452d-1357-447c-abc0-17d66ab0a24d
BE-004	04	control	2ebaa773-64d2-4cac-853b-030ddf9320dd	12	12	yes	0	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	INCONCLUSIVE-0-edits	n/a	0	0	0	0	25	20	0.105942	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-2ebaa773-64d2-4cac-853b-030ddf9320dd
BE-004	05	treated	b90c76d7-12df-4dcb-beb6-630dd8cef809	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	5	7	30	28	0.257077	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b90c76d7-12df-4dcb-beb6-630dd8cef809
BE-004	05	control	80b21210-ec80-4a8b-ba25-7dbd74bd4700	12	12	yes	0	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	INCONCLUSIVE-0-edits	n/a	0	0	0	0	17	15	0.059323	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-80b21210-ec80-4a8b-ba25-7dbd74bd4700
BE-004	06	treated	eb2fe52a-6374-4a83-84c8-98079b8a9f4f	0	0	no	6	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	7	7	27	25	0.204994	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-eb2fe52a-6374-4a83-84c8-98079b8a9f4f
BE-004	06	control	67129732-429f-4d50-97be-630de430eb14	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	27	25	0.208626	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-67129732-429f-4d50-97be-630de430eb14
BE-004	07	treated	7792f10e-ceb3-4bcf-aca1-1d16727d1f9c	0	0	no	17	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	6	38	36	0.249632	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-7792f10e-ceb3-4bcf-aca1-1d16727d1f9c
BE-004	07	control	94a6b3a6-ce99-43cb-92de-339915aa7583	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	26	24	0.199602	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-94a6b3a6-ce99-43cb-92de-339915aa7583
BE-004	08	treated	ebf9e05e-0405-4a4c-ba2b-cd5691ebea71	11	11	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	10	10	32	30	0.228331	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-ebf9e05e-0405-4a4c-ba2b-cd5691ebea71
BE-004	08	control	af75aeeb-604e-4b9a-9937-befd4a314f52	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	29	27	0.193917	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-af75aeeb-604e-4b9a-9937-befd4a314f52
BE-004	09	treated	cbfd8d07-f960-4a69-879d-71df540fcde7	0	0	no	8	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	1	0	5	4	29	27	0.219096	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cbfd8d07-f960-4a69-879d-71df540fcde7
BE-004	09	control	e352ec58-eba0-4bf1-a2ce-7b370cf4258a	0	0	no	7	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	28	26	0.200532	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-e352ec58-eba0-4bf1-a2ce-7b370cf4258a
BE-004	10	treated	b33a8233-3bb0-4faa-acd9-d5bd9a250e89	0	0	no	6	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	6	27	25	0.209355	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b33a8233-3bb0-4faa-acd9-d5bd9a250e89
BE-004	10	control	00b6ccbb-0548-40d5-b8cf-dbc1340d8d13	12	12	yes	0	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	INCONCLUSIVE-0-edits	n/a	0	0	0	0	17	16	0.06025	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-00b6ccbb-0548-40d5-b8cf-dbc1340d8d13
